img_id,valid_inst,hard_inst,hard_ratio,is_complex,point_only_miou,adaptive_miou,improvement
2010_004370,2,2,1.0,True,0.8938,0.8605,-0.0333
2009_004593,3,0,0.0,False,0.3181,0.2804,-0.0377
2009_004284,3,0,0.0,False,0.2984,0.3207,0.0223
2008_000042,1,1,1.0,True,0.6616,0.6687,0.0071
2009_002393,2,1,0.5,True,0.0228,0.0226,-0.0002
2011_003418,1,0,0.0,False,0.1767,0.2317,0.055
2010_005875,3,0,0.0,False,0.2349,0.2527,0.0178
2010_002638,2,1,0.5,True,0.2111,0.2036,-0.0075
2008_003068,1,1,1.0,True,0.163,0.9382,0.7752
2010_002668,1,1,1.0,True,0.39,0.4555,0.0655
2011_000364,3,1,0.3333,False,0.4639,0.5132,0.0493
2012_003498,1,0,0.0,False,0.2043,0.2053,0.001
2011_003490,1,0,0.0,False,0.1719,0.1724,0.0005
2010_006056,9,6,0.6667,True,0.3087,0.3212,0.0125
2008_000297,5,0,0.0,False,0.154,0.1543,0.0003
2008_006092,1,0,0.0,False,0.1378,0.1339,-0.0039
2010_001486,1,0,0.0,False,0.141,0.1428,0.0018
2009_001449,1,0,0.0,False,0.7358,0.606,-0.1298
2010_001767,5,5,1.0,True,0.4191,0.4728,0.0537
2008_001009,2,0,0.0,False,0.1019,0.1019,0.0
2008_005639,3,2,0.6667,True,0.4207,0.472,0.0513
2011_005780,2,1,0.5,True,0.0512,0.2017,0.1505
2011_000012,1,0,0.0,False,0.0056,0.0051,-0.0005
2010_004945,1,0,0.0,False,0.5515,0.1021,-0.4494
2011_005893,1,0,0.0,False,0.1307,0.2995,0.1688
2012_003648,1,0,0.0,False,0.051,0.052,0.001
2008_006112,1,0,0.0,False,0.0168,0.0167,-0.0001
2011_002553,9,9,1.0,True,0.4328,0.4941,0.0613
2009_002199,2,1,0.5,True,0.2144,0.0338,-0.1806
2010_001066,1,0,0.0,False,0.7163,0.6969,-0.0194
2008_001420,6,4,0.6667,True,0.349,0.3689,0.0199
2011_005872,1,0,0.0,False,0.0091,0.009,-0.0001
2007_000793,10,10,1.0,True,0.4828,0.619,0.1362
2012_004150,1,0,0.0,False,0.2659,0.048,-0.2179
2009_002632,1,0,0.0,False,0.0099,0.0099,0.0
2011_001190,2,2,1.0,True,0.2259,0.22,-0.0059
2011_005581,1,0,0.0,False,0.0223,0.0229,0.0006
2008_003101,1,1,1.0,True,0.9392,0.9444,0.0052
2010_005991,3,3,1.0,True,0.2228,0.4099,0.1871
2010_004957,2,1,0.5,True,0.6747,0.6945,0.0198
2008_006718,2,0,0.0,False,0.6112,0.6161,0.0049
2010_004066,1,0,0.0,False,0.0207,0.0203,-0.0004
2012_003347,1,1,1.0,True,0.0264,0.3733,0.3469
2010_004659,3,3,1.0,True,0.4862,0.5621,0.0759
2011_004080,2,0,0.0,False,0.1075,0.1099,0.0024
2010_005744,1,1,1.0,True,0.8911,0.8864,-0.0047
2011_003667,1,0,0.0,False,0.2399,0.1937,-0.0462
2010_003762,3,1,0.3333,False,0.4601,0.4621,0.002
2008_006892,3,0,0.0,False,0.0924,0.2349,0.1425
2009_002308,2,0,0.0,False,0.1866,0.1861,-0.0005
2011_004861,1,0,0.0,False,0.2004,0.1983,-0.0021
2011_002143,9,6,0.6667,True,0.2167,0.3332,0.1165
2009_001164,1,0,0.0,False,0.0246,0.0245,-0.0001
2010_004109,4,4,1.0,True,0.4444,0.6621,0.2177
2011_003940,3,2,0.6667,True,0.453,0.5739,0.1209
2007_000187,1,0,0.0,False,0.5337,0.5335,-0.0002
2010_004295,1,0,0.0,False,0.3261,0.2824,-0.0437
2010_003176,1,0,0.0,False,0.3047,0.3068,0.0021
2009_003487,1,0,0.0,False,0.6647,0.6592,-0.0055
2011_005500,1,0,0.0,False,0.6403,0.6404,0.0001
2010_005496,1,1,1.0,True,0.006,0.9338,0.9278
2012_000613,1,0,0.0,False,0.5831,0.4293,-0.1538
2011_006254,1,0,0.0,False,0.336,0.3367,0.0007
2011_006280,3,2,0.6667,True,0.2157,0.221,0.0053
2009_003698,1,0,0.0,False,0.0374,0.7288,0.6914
2012_003631,1,0,0.0,False,0.0437,0.0413,-0.0024
2012_001131,1,0,0.0,False,0.1949,0.1944,-0.0005
2009_000899,1,0,0.0,False,0.3959,0.4785,0.0826
2008_004084,12,7,0.5833,True,0.1991,0.2854,0.0863
2010_002973,1,0,0.0,False,0.9725,0.9827,0.0102
2012_003913,1,0,0.0,False,0.1162,0.1166,0.0004
2010_006314,1,0,0.0,False,0.0299,0.0296,-0.0003
2008_004640,1,1,1.0,True,0.4857,0.3638,-0.1219
2009_005078,2,2,1.0,True,0.6805,0.3587,-0.3218
2010_004733,1,0,0.0,False,0.5199,0.5231,0.0032
2009_004406,4,4,1.0,True,0.2039,0.2529,0.049
2009_002770,1,0,0.0,False,0.0679,0.0724,0.0045
2008_008227,1,0,0.0,False,0.4654,0.4685,0.0031
2008_000089,1,1,1.0,True,0.4033,0.4164,0.0131
2008_001539,1,0,0.0,False,0.5639,0.5139,-0.05
2010_000415,3,1,0.3333,False,0.5856,0.6717,0.0861
2012_001252,1,0,0.0,False,0.6501,0.6527,0.0026
2008_003300,1,0,0.0,False,0.0057,0.0058,0.0001
2011_007143,2,0,0.0,False,0.1052,0.1044,-0.0008
2011_004471,1,0,0.0,False,0.0328,0.0324,-0.0004
2009_002472,1,1,1.0,True,0.253,0.9221,0.6691
2011_002470,1,1,1.0,True,0.0009,0.183,0.1821
2012_002478,1,0,0.0,False,0.4304,0.1925,-0.2379
2011_003488,1,0,0.0,False,0.1691,0.1594,-0.0097
2010_000356,1,0,0.0,False,0.3919,0.4398,0.0479
2008_008237,5,5,1.0,True,0.3761,0.4773,0.1012
2007_002639,3,3,1.0,True,0.5951,0.4569,-0.1382
2008_005521,6,6,1.0,True,0.4075,0.5114,0.1039
2011_005183,1,0,0.0,False,0.2046,0.2034,-0.0012
2009_004042,11,3,0.2727,False,0.3305,0.27,-0.0605
2009_001288,1,0,0.0,False,0.0512,0.0508,-0.0004
2012_004063,2,0,0.0,False,0.0838,0.1577,0.0739
2012_000578,1,0,0.0,False,0.4156,0.4019,-0.0137
2008_001797,3,0,0.0,False,0.1966,0.1972,0.0006
2010_000692,1,0,0.0,False,0.0176,0.0173,-0.0003
