img_id,img_name,img_width,img_height,total_valid_instances,hard_instance_num,hard_instance_ratio,is_complex_image,complex_label,Point-only_mIoU,Box-only_mIoU,Point+Box(Adaptive)_mIoU
369503,000000369503.jpg,500,375,2,1,0.5,True,复杂图片,0.5184,0.8277,0.7781
23359,000000023359.jpg,640,428,2,1,0.5,True,复杂图片,0.3828,0.7335,0.7261
226883,000000226883.jpg,640,480,1,1,1.0,True,复杂图片,0.9135,0.9241,0.9282
521141,000000521141.jpg,375,500,12,5,0.4167,False,简单图片,0.7057,0.8651,0.8688
6040,000000006040.jpg,640,351,10,7,0.7,True,复杂图片,0.4927,0.724,0.5817
565962,000000565962.jpg,479,322,2,0,0.0,False,简单图片,0.7166,0.817,0.8168
191614,000000191614.jpg,612,612,3,3,1.0,True,复杂图片,0.4292,0.7883,0.758
85157,000000085157.jpg,640,480,20,5,0.25,False,简单图片,0.6129,0.8101,0.816
539962,000000539962.jpg,640,480,18,13,0.7222,True,复杂图片,0.4627,0.6256,0.6084
110972,000000110972.jpg,640,487,1,0,0.0,False,简单图片,0.9549,0.9525,0.9488
453981,000000453981.jpg,640,427,2,0,0.0,False,简单图片,0.4836,0.8225,0.6513
348216,000000348216.jpg,480,640,8,2,0.25,False,简单图片,0.6498,0.7442,0.7217
276284,000000276284.jpg,500,640,5,2,0.4,False,简单图片,0.8103,0.8328,0.8281
198510,000000198510.jpg,640,640,2,1,0.5,True,复杂图片,0.3345,0.925,0.8153
369442,000000369442.jpg,640,480,24,9,0.375,False,简单图片,0.5357,0.7577,0.7585
425390,000000425390.jpg,500,375,2,0,0.0,False,简单图片,0.4219,0.845,0.6322
119365,000000119365.jpg,480,640,5,1,0.2,False,简单图片,0.5662,0.8252,0.7895
181796,000000181796.jpg,640,360,15,8,0.5333,True,复杂图片,0.5675,0.709,0.7171
242946,000000242946.jpg,640,480,39,16,0.4103,False,简单图片,0.4892,0.7327,0.7183
32735,000000032735.jpg,640,427,4,2,0.5,True,复杂图片,0.3948,0.594,0.6037
329041,000000329041.jpg,480,640,10,0,0.0,False,简单图片,0.5775,0.7505,0.7871
164885,000000164885.jpg,640,427,4,3,0.75,True,复杂图片,0.6091,0.8243,0.8079
177357,000000177357.jpg,640,396,2,1,0.5,True,复杂图片,0.8065,0.8995,0.8916
435081,000000435081.jpg,500,500,60,26,0.4333,False,简单图片,0.5719,0.758,0.7632
491090,000000491090.jpg,478,640,6,4,0.6667,True,复杂图片,0.343,0.7809,0.7635
550471,000000550471.jpg,640,425,2,1,0.5,True,复杂图片,0.6935,0.844,0.844
301421,000000301421.jpg,640,427,10,2,0.2,False,简单图片,0.5591,0.7477,0.8224
292330,000000292330.jpg,640,512,2,1,0.5,True,复杂图片,0.4488,0.8971,0.8949
334483,000000334483.jpg,480,640,20,4,0.2,False,简单图片,0.4989,0.7717,0.7925
367818,000000367818.jpg,640,427,2,2,1.0,True,复杂图片,0.5459,0.8394,0.8267
409867,000000409867.jpg,428,640,2,0,0.0,False,简单图片,0.7513,0.7598,0.7623
476119,000000476119.jpg,640,427,5,3,0.6,True,复杂图片,0.3568,0.7992,0.7962
423944,000000423944.jpg,448,640,1,1,1.0,True,复杂图片,0.0275,0.8476,0.8309
287545,000000287545.jpg,640,480,2,2,1.0,True,复杂图片,0.8117,0.7972,0.8441
450202,000000450202.jpg,375,500,7,2,0.2857,False,简单图片,0.2249,0.5977,0.6582
40083,000000040083.jpg,500,333,11,5,0.4545,False,简单图片,0.4534,0.8002,0.81
193494,000000193494.jpg,426,640,1,0,0.0,False,简单图片,0.2009,0.9161,0.9275
411665,000000411665.jpg,640,427,2,0,0.0,False,简单图片,0.4262,0.7812,0.7325
289417,000000289417.jpg,500,375,10,4,0.4,False,简单图片,0.6251,0.7881,0.7699
564133,000000564133.jpg,640,424,8,1,0.125,False,简单图片,0.5798,0.7576,0.7321
203629,000000203629.jpg,640,427,14,2,0.1429,False,简单图片,0.5327,0.8313,0.8038
316404,000000316404.jpg,640,445,6,3,0.5,True,复杂图片,0.8278,0.8578,0.7325
25393,000000025393.jpg,640,480,9,4,0.4444,False,简单图片,0.4269,0.7558,0.7385
235057,000000235057.jpg,480,640,1,0,0.0,False,简单图片,0.0143,0.9136,0.9126
259640,000000259640.jpg,640,427,20,9,0.45,False,简单图片,0.4238,0.7011,0.6984
210915,000000210915.jpg,640,480,2,1,0.5,True,复杂图片,0.4586,0.8935,0.8952
231879,000000231879.jpg,640,426,9,0,0.0,False,简单图片,0.3586,0.8082,0.7848
55022,000000055022.jpg,480,640,9,5,0.5556,True,复杂图片,0.2961,0.5407,0.5158
13004,000000013004.jpg,375,500,2,0,0.0,False,简单图片,0.1729,0.5924,0.4973
530061,000000530061.jpg,640,455,7,2,0.2857,False,简单图片,0.4885,0.8463,0.8563
99114,000000099114.jpg,500,335,20,10,0.5,True,复杂图片,0.5277,0.7365,0.7363
353970,000000353970.jpg,640,426,2,1,0.5,True,复杂图片,0.2156,0.7595,0.7682
525155,000000525155.jpg,640,426,2,2,1.0,True,复杂图片,0.5296,0.8681,0.8595
74860,000000074860.jpg,640,427,2,0,0.0,False,简单图片,0.9159,0.9137,0.9101
543047,000000543047.jpg,640,480,13,7,0.5385,True,复杂图片,0.7107,0.8275,0.7604
349480,000000349480.jpg,640,450,17,6,0.3529,False,简单图片,0.5851,0.8242,0.7753
97988,000000097988.jpg,612,612,18,11,0.6111,True,复杂图片,0.5321,0.7356,0.7242
497344,000000497344.jpg,500,333,4,0,0.0,False,简单图片,0.3538,0.8494,0.8413
188439,000000188439.jpg,640,408,2,1,0.5,True,复杂图片,0.3595,0.8387,0.8345
117719,000000117719.jpg,640,425,19,8,0.4211,False,简单图片,0.3646,0.7713,0.7479
377882,000000377882.jpg,640,480,14,5,0.3571,False,简单图片,0.4834,0.791,0.7766
182923,000000182923.jpg,375,500,16,3,0.1875,False,简单图片,0.4906,0.7611,0.7621
518326,000000518326.jpg,640,480,5,0,0.0,False,简单图片,0.2551,0.7275,0.7031
80666,000000080666.jpg,640,640,2,1,0.5,True,复杂图片,0.1981,0.7189,0.7347
328430,000000328430.jpg,433,640,15,14,0.9333,True,复杂图片,0.5843,0.6974,0.699
186345,000000186345.jpg,640,431,6,5,0.8333,True,复杂图片,0.7998,0.8086,0.8245
410735,000000410735.jpg,640,512,6,2,0.3333,False,简单图片,0.5433,0.4957,0.8808,0.891,0.8915
494188,000000494188.jpg,480,640,16,7,0.4375,False,简单图片,0.585,0.594,0.8238,0.8134,0.7443
92177,000000092177.jpg,626,640,3,0,0.0,False,简单图片,0.6689,0.7379,0.8113,0.8085,0.8084
252716,000000252716.jpg,426,640,2,1,0.5,True,复杂图片,0.5995,0.8947,0.8869,0.8891,0.8881
541055,000000541055.jpg,640,360,11,9,0.8182,True,复杂图片,0.1982,0.2973,0.6573,0.5865,0.5944
