img_id,img_name,Point-only_mIoU,Point(Adaptive)_mIoU,is_complex_image,complex_label
338560,000000338560.jpg,0.7381,0.6276,True,复杂图片
331352,000000331352.jpg,0.296,0.7011,False,简单图片
554595,000000554595.jpg,0.4351,0.1489,False,简单图片
291664,000000291664.jpg,0.8629,0.9156,True,复杂图片
78170,000000078170.jpg,0.4995,0.4407,False,简单图片
255965,000000255965.jpg,0.8814,0.884,False,简单图片
562581,000000562581.jpg,0.5428,0.7157,True,复杂图片
382030,000000382030.jpg,0.416,0.6227,True,复杂图片
208363,000000208363.jpg,0.2966,0.3778,True,复杂图片
545826,000000545826.jpg,0.4697,0.5008,False,简单图片
421455,000000421455.jpg,0.519,0.3862,False,简单图片
181499,000000181499.jpg,0.4314,0.4318,False,简单图片
260106,000000260106.jpg,0.5794,0.5392,False,简单图片
177714,000000177714.jpg,0.8242,0.7744,False,简单图片
1490,000000001490.jpg,0.4317,0.8105,True,复杂图片
127270,000000127270.jpg,0.2859,0.3547,False,简单图片
20333,000000020333.jpg,0.4003,0.5589,False,简单图片
320706,000000320706.jpg,0.0,0.0,False,简单图片
279730,000000279730.jpg,0.6521,0.8108,False,简单图片
98261,000000098261.jpg,0.8023,0.6066,True,复杂图片
190853,000000190853.jpg,0.5456,0.5396,False,简单图片
371699,000000371699.jpg,0.3998,0.4056,True,复杂图片
454067,000000454067.jpg,0.3812,0.5004,True,复杂图片
499031,000000499031.jpg,0.4027,0.4531,False,简单图片
384350,000000384350.jpg,0.3296,0.7386,True,复杂图片
162581,000000162581.jpg,0.5694,0.4439,True,复杂图片
91500,000000091500.jpg,0.5468,0.6054,True,复杂图片
442463,000000442463.jpg,0.5131,0.5123,True,复杂图片
60090,000000060090.jpg,0.2468,0.3522,True,复杂图片
323496,000000323496.jpg,0.5975,0.6544,True,复杂图片
123213,000000123213.jpg,0.4671,0.5329,True,复杂图片
130465,000000130465.jpg,0.4383,0.4346,False,简单图片
261061,000000261061.jpg,0.5271,0.4958,False,简单图片
196843,000000196843.jpg,0.5997,0.6306,True,复杂图片
87144,000000087144.jpg,0.5659,0.4498,False,简单图片
125936,000000125936.jpg,0.6785,0.6973,False,简单图片
489842,000000489842.jpg,0.4738,0.4759,False,简单图片
556193,000000556193.jpg,0.602,0.4848,False,简单图片
265108,000000265108.jpg,0.3399,0.7227,True,复杂图片
319369,000000319369.jpg,0.5585,0.5856,True,复杂图片
552883,000000552883.jpg,0.5017,0.7265,True,复杂图片
263969,000000263969.jpg,0.5591,0.6439,False,简单图片
223090,000000223090.jpg,0.4815,0.7958,False,简单图片
776,000000000776.jpg,0.4017,0.4881,False,简单图片
345385,000000345385.jpg,0.3491,0.4315,False,简单图片
488673,000000488673.jpg,0.4933,0.6313,False,简单图片
419096,000000419096.jpg,0.0009,0.5486,False,简单图片
489764,000000489764.jpg,0.3382,0.4224,True,复杂图片
360097,000000360097.jpg,0.6628,0.6449,False,简单图片
4134,000000004134.jpg,0.4924,0.5245,False,简单图片
289516,000000289516.jpg,0.4566,0.4595,False,简单图片
565153,000000565153.jpg,0.2497,0.2521,False,简单图片
248752,000000248752.jpg,0.6147,0.6152,True,复杂图片
261982,000000261982.jpg,0.484,0.7236,False,简单图片
342006,000000342006.jpg,0.5799,0.6125,True,复杂图片
195045,000000195045.jpg,0.6634,0.6733,True,复杂图片
98018,000000098018.jpg,0.6753,0.6661,False,简单图片
309495,000000309495.jpg,0.8784,0.8869,False,简单图片
239318,000000239318.jpg,0.3451,0.5009,False,简单图片
575815,000000575815.jpg,0.0166,0.0168,False,简单图片
180878,000000180878.jpg,0.4895,0.4903,False,简单图片
222458,000000222458.jpg,0.7343,0.755,True,复杂图片
275791,000000275791.jpg,0.2777,0.3899,False,简单图片
32570,000000032570.jpg,0.6204,0.8182,True,复杂图片
329542,000000329542.jpg,0.34,0.3571,False,简单图片
150726,000000150726.jpg,0.7327,0.6146,True,复杂图片
7795,000000007795.jpg,0.2332,0.269,False,简单图片
48924,000000048924.jpg,0.6057,0.8626,False,简单图片
405972,000000405972.jpg,0.4704,0.471,True,复杂图片
455872,000000455872.jpg,0.4501,0.4525,False,简单图片
407650,000000407650.jpg,0.8225,0.8663,True,复杂图片
531771,000000531771.jpg,0.1002,0.1184,False,简单图片
239627,000000239627.jpg,0.4309,0.4529,False,简单图片
535156,000000535156.jpg,0.473,0.784,True,复杂图片
314294,000000314294.jpg,0.7846,0.7874,False,简单图片
110884,000000110884.jpg,0.8454,0.8508,False,简单图片
450758,000000450758.jpg,0.7107,0.6262,True,复杂图片
400044,000000400044.jpg,0.6576,0.4607,True,复杂图片
50145,000000050145.jpg,0.4428,0.5017,False,简单图片
348243,000000348243.jpg,0.6873,0.8703,True,复杂图片
189828,000000189828.jpg,0.3446,0.9152,True,复杂图片
87875,000000087875.jpg,0.8569,0.8514,False,简单图片
166768,000000166768.jpg,0.6406,0.7121,False,简单图片
48555,000000048555.jpg,0.3857,0.3724,True,复杂图片
368752,000000368752.jpg,0.3782,0.4363,False,简单图片
550691,000000550691.jpg,0.4381,0.636,True,复杂图片
472298,000000472298.jpg,0.5341,0.5311,False,简单图片
554291,000000554291.jpg,0.4981,0.5022,False,简单图片
559099,000000559099.jpg,0.724,0.7072,True,复杂图片
171382,000000171382.jpg,0.5784,0.6435,True,复杂图片
289229,000000289229.jpg,0.9052,0.8015,False,简单图片
344795,000000344795.jpg,0.5127,0.5144,False,简单图片
578792,000000578792.jpg,0.3527,0.1274,True,复杂图片
438269,000000438269.jpg,0.8235,0.0452,True,复杂图片
23230,000000023230.jpg,0.6212,0.6686,True,复杂图片
577976,000000577976.jpg,0.7288,0.7449,False,简单图片
234526,000000234526.jpg,0.5954,0.8111,True,复杂图片
48564,000000048564.jpg,0.4396,0.6382,False,简单图片
267191,000000267191.jpg,0.6666,0.6384,False,简单图片
147205,000000147205.jpg,0.5122,0.5016,False,简单图片
532530,000000532530.jpg,0.6163,0.5739,True,复杂图片
145620,000000145620.jpg,0.5453,0.5781,True,复杂图片
432468,000000432468.jpg,0.5321,0.8486,False,简单图片
201148,000000201148.jpg,0.5566,0.5914,False,简单图片
95786,000000095786.jpg,0.8855,0.6178,False,简单图片
95155,000000095155.jpg,0.4334,0.4455,True,复杂图片
89078,000000089078.jpg,0.3964,0.3084,True,复杂图片
284743,000000284743.jpg,0.4865,0.5155,False,简单图片
